No.,ID de pantalla,,Orientacion,Estado de la pantalla ,Fecha instalacion pantalla,Fecha renovación tecnológica pantalla,Pantallas,Nuc Optimo / Vulnerable,Marca,Nuc,Fecha de instalacion Nuc,Redundancia,Fecha de instalacion Teltonika,Estado Redundancia,SD 300 Nova star,Fecha de instalacion SD 300,Estado SD 300 Nova star,UPS Cyberpower,Fecha de instalacion UPS,Estado UPS Cyberpower,Internet Fibra optica,Camara,Fecha de instalacion Camara,Estado Camara,POE,Fecha de instalacion POE,Estado POE,Interruptor termomagnetico 3x100 amp,Interruptor termomagnetico 2x20 amp,Marca,Pitch,Numero de gabinetes,Medida de pantalla en m2
1,MX_CM_VV_COL_414,414,Norte,Optimo,"martes, 9 de julio de 2019",,1,,,,09/07/2019,,,,,09/07/2019,,,,,,Hikvision DS-2CD2643G2,09/07/2019,Vulnerable,UTEPO,09/07/2019,Vulnerable,,,Amicibro,P 6,16,14.74
2,MX_CM_VV_COL_414,414,Sur,Optimo,"martes, 9 de julio de 2019","viernes, 24 de abril de 2026",1,Vulnerable,Histoy Industrial,Nuc,09/07/2019,Teltonika 955,15/08/2025,Optimo,SD 300,09/07/2019,Vulnerable,UPS,24/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,09/07/2019,Vulnerable,UTEPO,09/07/2019,Vulnerable,1,8,Amicibro,P 6,16,14.74
3,MX_CM_VV_COL_419,419,Norte,Optimo,"viernes, 12 de julio de 2019",,1,,,,12/07/2019,,,,,12/07/2019,,,,,,Hikvision DS-2CD2643G2,12/07/2019,Vulnerable,UTEPO,12/07/2019,Vulnerable,,,Amicibro,P 6,16,14.74
4,MX_CM_VV_COL_419,419,Sur,Optimo,"viernes, 12 de julio de 2019","viernes, 24 de abril de 2026",1,Optimo,Asus,Nuc,12/07/2019,Teltonika 955,15/08/2025,Optimo,SD 300,12/07/2019,Vulnerable,UPS,24/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,12/07/2019,Vulnerable,UTEPO,12/07/2019,Vulnerable,1,8,Amicibro,P 6,16,14.74
5,MX_CM_VV_COL_440,440,Norte,Optimo,"sábado, 13 de julio de 2019",,1,,,,13/07/2019,,,,,13/07/2019,,,,,,Hikvision DS-2CD2643G2,13/07/2019,Vulnerable,UTEPO,13/07/2019,Vulnerable,,,Amicibro,P 6,16,14.74
6,MX_CM_VV_COL_440,440,Sur,Optimo,"sábado, 13 de julio de 2019",,1,Vulnerable,Intel,Nuc,13/07/2019,Teltonika 955,16/08/2025,Optimo,SD 300,13/07/2019,Vulnerable,UPS,24/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,13/07/2019,Vulnerable,UTEPO,13/07/2019,Vulnerable,1,8,Amicibro,P 6,16,14.74
7,MX_CM_VV_COL_444,444,Norte,Optimo,"martes, 16 de julio de 2019",,1,,,,16/07/2019,,,,,16/07/2019,,,,,,Hikvision DS-2CD2643G2,16/07/2019,Vulnerable,UTEPO,16/07/2019,Vulnerable,,,Unilumin,P 10,16,14.74
8,MX_CM_VV_COL_444,444,Sur,Optimo,"martes, 16 de julio de 2019",,1,Vulnerable,Intel,Nuc,16/07/2019,Teltonika 955,16/08/2025,Optimo,SD 300,16/07/2019,Vulnerable,UPS,25/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,16/07/2019,Vulnerable,UTEPO,16/07/2019,Vulnerable,1,8,Unilumin,P 10,24,14.74
9,MX_CM_VV_COL_448,448,Norte,Optimo,"miércoles, 17 de julio de 2019",,1,,,,17/07/2019,,,,,17/07/2019,,,,,,Hikvision DS-2CD2643G2,17/07/2019,Vulnerable,UTEPO,17/07/2019,Vulnerable,,,Unilumin,P 10,10,11.2
10,MX_CM_VV_COL_448,448,Sur,Optimo,"miércoles, 17 de julio de 2019",,1,Optimo,Asus,Nuc,17/07/2019,Teltonika 955,17/08/2025,Optimo,SD 300,17/07/2019,Vulnerable,UPS,25/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,17/07/2019,Vulnerable,UTEPO,17/07/2019,Vulnerable,1,8,Unilumin,P 10,10,11.2
11,MX_CM_VV_COL_459,459,Norte,Optimo,"viernes, 19 de julio de 2019",,1,,,,19/07/2019,,,,,19/07/2019,,,,,,Hikvision DS-2CD2643G2,19/07/2019,Vulnerable,UTEPO,19/07/2019,Vulnerable,,,Unilumin,P 10,16,14.74
12,MX_CM_VV_COL_459,459,Sur,Optimo,"viernes, 19 de julio de 2019",,1,Vulnerable,Histoy Industrial,Nuc,19/07/2019,Teltonika 955,17/08/2025,Optimo,SD 300,19/07/2019,Vulnerable,UPS,25/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,19/07/2019,Vulnerable,UTEPO,19/07/2019,Vulnerable,1,8,Unilumin,P 10,16,14.74
13,MX_CM_VV_COL_465,465,Norte,Optimo,"lunes, 22 de julio de 2019",,1,,,,22/07/2019,,,,,22/07/2019,,,,,,Hikvision DS-2CD2643G2,22/07/2019,Vulnerable,UTEPO,22/07/2019,Vulnerable,,,Unilumin,P 10,20,16.1
14,MX_CM_VV_COL_465,465,Sur,Optimo,"lunes, 22 de julio de 2019",,1,Vulnerable,Intel,Nuc,22/07/2019,Teltonika 955,18/08/2025,Optimo,SD 300,22/07/2019,Vulnerable,UPS,26/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,22/07/2019,Vulnerable,UTEPO,22/07/2019,Vulnerable,1,8,Unilumin,P 10,8,12.8
15,MX_CM_VV_COL_478,478,Norte,Optimo,"martes, 23 de julio de 2019",,1,,,,23/07/2019,,,,,23/07/2019,,,,,,Hikvision DS-2CD2643G2,23/07/2019,Vulnerable,UTEPO,23/07/2019,Vulnerable,,,Unilumin,P 10,16,14.74
16,MX_CM_VV_COL_478,478,Sur,Optimo,"martes, 23 de julio de 2019",,1,Vulnerable,Intel,Nuc,23/07/2019,Teltonika 955,18/08/2025,Optimo,SD 300,23/07/2019,Vulnerable,UPS,26/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,23/07/2019,Vulnerable,UTEPO,23/07/2019,Vulnerable,1,8,Unilumin,P 10,16,14.74
17,MX_CM_VV_COL_491,491,Norte,Optimo,"jueves, 25 de julio de 2019",,1,,,,25/07/2019,,,,,25/07/2019,,,,,,Hikvision DS-2CD2643G2,25/07/2019,Vulnerable,UTEPO,25/07/2019,Vulnerable,,,Unilumin,P10,16,14.74
18,MX_CM_VV_COL_491,491,Sur,Optimo,"jueves, 25 de julio de 2019","martes, 28 de abril de 2026",1,Vulnerable,Intel,Nuc,25/07/2019,Teltonika 955,19/08/2025,Optimo,SD 300,25/07/2019,Vulnerable,UPS,26/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,25/07/2019,Vulnerable,UTEPO,25/07/2019,Vulnerable,1,8,Unilumin,P10,16,14.74
19,MX_CM_VV_COL_505,505,Norte,Optimo,"viernes, 26 de julio de 2019",,1,,,,26/07/2019,,,,,26/07/2019,,,,,,Hikvision DS-2CD2643G2,26/07/2019,Vulnerable,UTEPO,26/07/2019,Vulnerable,,,Unilumin,P10,12,11.05
20,MX_CM_VV_COL_505,505,Sur,Optimo,"viernes, 26 de julio de 2019","martes, 28 de abril de 2026",1,Vulnerable,Intel,Nuc,26/07/2019,Teltonika 955,19/08/2025,Optimo,SD 300,26/07/2019,Vulnerable,UPS,27/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,26/07/2019,Vulnerable,UTEPO,26/07/2019,Vulnerable,1,8,Unilumin,P10,12,11.05
21,MX_CM_VV_COL_509,509,Norte,Optimo,"sábado, 27 de julio de 2019",,1,,,,27/07/2019,,,,,27/07/2019,,,,,,Hikvision DS-2CD2643G2,27/07/2019,Vulnerable,UTEPO,27/07/2019,Vulnerable,,,Amicibro,P 6,16,14.74
22,MX_CM_VV_COL_509,509,Sur,Optimo,"sábado, 27 de julio de 2019",,1,Vulnerable,Intel,Nuc,27/07/2019,Teltonika 955,20/08/2025,Optimo,SD 300,27/07/2019,Vulnerable,UPS,27/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,27/07/2019,Vulnerable,UTEPO,27/07/2019,Vulnerable,1,8,Amicibro,P 6,16,14.74
23,MX_CM_VV_COL_519,519,Norte,Optimo,"domingo, 28 de julio de 2019",,1,,,,28/07/2019,,,,,28/07/2019,,,,,,Hikvision DS-2CD2643G2,28/07/2019,Vulnerable,UTEPO,28/07/2019,Vulnerable,,,Amicibro,P 6,16,14.74
24,MX_CM_VV_COL_519,519,Sur,Critico,"domingo, 28 de julio de 2019",,1,Vulnerable,Intel,Nuc,28/07/2019,Teltonika 955,20/08/2025,Optimo,SD 300,28/07/2019,Vulnerable,UPS,27/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,28/07/2019,Vulnerable,UTEPO,28/07/2019,Vulnerable,1,8,Amicibro,P 6,16,14.74
25,MX_CM_VV_COL_529,529,Norte,Optimo,"lunes, 29 de julio de 2019",,1,,,,29/07/2019,,,,,29/07/2019,,,,,,Hikvision DS-2CD2643G2,29/07/2019,Vulnerable,UTEPO,29/07/2019,Vulnerable,,,LiteStar,P 10,16,14.74
26,MX_CM_VV_COL_529,529,Sur,Optimo,"lunes, 29 de julio de 2019",,1,Vulnerable,Mbox600PRO,Nuc,29/07/2019,Teltonika 955,21/08/2025,Optimo,SD 300,29/07/2019,Vulnerable,UPS,28/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,29/07/2019,Vulnerable,UTEPO,29/07/2019,Vulnerable,1,8,LiteStar,P 10,16,14.74
27,MX_CM_VV_COL_542,542,Norte,Optimo,"martes, 30 de julio de 2019",,1,,,,30/07/2019,,,,,30/07/2019,,,,,,Hikvision DS-2CD2643G2,30/07/2019,Vulnerable,UTEPO,30/07/2019,Vulnerable,,,LiteStar,P 10,16,14.74
28,MX_CM_VV_COL_542,542,Sur,Optimo,"martes, 30 de julio de 2019",,1,Vulnerable,Intel,Nuc,30/07/2019,Teltonika 955,21/08/2025,Optimo,SD 300,30/07/2019,Vulnerable,UPS,28/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,30/07/2019,Vulnerable,UTEPO,30/07/2019,Vulnerable,1,8,LiteStar,P 10,16,14.74
29,MX_CM_VV_COL_551,551,Norte,Optimo,"jueves, 25 de abril de 2019",,1,,,,25/04/2019,,,,,25/04/2019,,,,,,Hikvision DS-2CD2643G2,25/04/2019,Vulnerable,UTEPO,25/04/2019,Vulnerable,,,Unilumin,P10,16,14.74
30,MX_CM_VV_COL_551,551,Sur,Optimo,"jueves, 25 de abril de 2019","martes, 28 de abril de 2026",1,Optimo,Asus,Nuc,25/04/2019,Teltonika 955,22/08/2025,Optimo,SD 300,25/04/2019,Vulnerable,UPS,28/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,25/04/2019,Vulnerable,UTEPO,25/04/2019,Vulnerable,1,8,Unilumin,P10,16,14.74
31,MX_CM_VV_COL_571,571,Norte,Optimo,"viernes, 26 de abril de 2019",,1,,,,26/04/2019,,,,,26/04/2019,,,,,,Hikvision DS-2CD2643G2,26/04/2019,Vulnerable,UTEPO,26/04/2019,Vulnerable,,,LiteStar,P 10,16,14.74
32,MX_CM_VV_COL_571,571,Sur,Optimo,"viernes, 26 de abril de 2019",,1,Vulnerable,Intel,Nuc,26/04/2019,Teltonika 955,22/08/2025,Optimo,SD 300,26/04/2019,Vulnerable,UPS,29/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,26/04/2019,Vulnerable,UTEPO,26/04/2019,Vulnerable,1,8,LiteStar,P 10,16,14.74
33,MX_CM_VV_COL_576,576,Norte,Optimo,"sábado, 27 de abril de 2019",,1,,,,27/04/2019,,,,,27/04/2019,,,,,,Hikvision DS-2CD2643G2,27/04/2019,Vulnerable,UTEPO,27/04/2019,Vulnerable,,,LiteStar,P 10,16,14.74
34,MX_CM_VV_COL_576,576,Sur,Optimo,"sábado, 27 de abril de 2019",,1,Vulnerable,Intel,Nuc,27/04/2019,Teltonika 955,23/08/2025,Optimo,SD 300,27/04/2019,Vulnerable,UPS,29/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,27/04/2019,Vulnerable,UTEPO,27/04/2019,Vulnerable,1,8,LiteStar,P 10,16,14.74
35,MX_CM_VV_COL_588,588,Norte,Optimo,"domingo, 28 de abril de 2019",,1,,,,28/04/2019,,,,,28/04/2019,,,,,,Hikvision DS-2CD2643G2,28/04/2019,Vulnerable,UTEPO,28/04/2019,Vulnerable,,,LiteStar,P 10,16,14.74
36,MX_CM_VV_COL_588,588,Sur,Optimo,"domingo, 28 de abril de 2019",,1,Vulnerable,Intel,Nuc,28/04/2019,Teltonika 955,23/08/2025,Optimo,SD 300,28/04/2019,Vulnerable,UPS,29/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,28/04/2019,Vulnerable,UTEPO,28/04/2019,Vulnerable,1,8,LiteStar,P 10,16,14.74
37,MX_CM_VV_COL_594,594,Norte,Optimo,"martes, 30 de abril de 2019",,1,,,,30/04/2019,,,,,30/04/2019,,,,,,Hikvision DS-2CD2643G2,30/04/2019,Vulnerable,UTEPO,30/04/2019,Vulnerable,,,LiteStar,P 10,16,14.74
38,MX_CM_VV_COL_594,594,Sur,Optimo,"martes, 30 de abril de 2019",,1,Vulnerable,Intel,Nuc,30/04/2019,Teltonika 955,24/08/2025,Optimo,SD 300,30/04/2019,Vulnerable,UPS,30/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,30/04/2019,Vulnerable,UTEPO,30/04/2019,Vulnerable,1,8,LiteStar,P 10,16,14.74
39,MX_CM_VV_COL_606,606,Norte,Optimo,"jueves, 2 de mayo de 2019",,1,,,,02/05/2019,,,,,02/05/2019,,,,,,Hikvision DS-2CD2643G2,02/05/2019,Vulnerable,UTEPO,02/05/2019,Vulnerable,,,Unilumin,P10,16,14.74
