No.,ID de pantalla,,Orientacion,Pantallas,Nuc Optimo / Vulnerable,Nuc,Redundancia,Estado Redundancia,SD 300 Nova star,Estado SD 300 Nova star,UPS Cyberpower,Estado UPS Cyberpower,Internet Fibra optica,Camara,Estado Camara,POE,Estado POE,Interruptor termomagnetico 3x100 amp,Interruptor termomagnetico 2x20 amp,Fecha renovación tecnológica pantalla,Marca,Pitch,Numero de gabinetes,Medida de pantalla en m2
1,MX_CM_VV_COL_414,414,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,16,14.74
2,MX_CM_VV_COL_414,414,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"viernes, 24 de abril de 2026",Amicibro,P 6,16,14.74
3,MX_CM_VV_COL_419,419,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,16,14.74
4,MX_CM_VV_COL_419,419,Sur,1,Optimo,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"viernes, 24 de abril de 2026",Amicibro,P 6,16,14.74
5,MX_CM_VV_COL_440,440,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,16,14.74
6,MX_CM_VV_COL_440,440,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,16,14.74
7,MX_CM_VV_COL_444,444,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P 10,16,14.74
8,MX_CM_VV_COL_444,444,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 10,24,14.74
9,MX_CM_VV_COL_448,448,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P 10,10,11.2
10,MX_CM_VV_COL_448,448,Sur,1,Optimo,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 10,10,11.2
11,MX_CM_VV_COL_459,459,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P 10,16,14.74
12,MX_CM_VV_COL_459,459,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 10,16,14.74
13,MX_CM_VV_COL_465,465,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P 10,20,16.1
14,MX_CM_VV_COL_465,465,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 10,8,12.8
15,MX_CM_VV_COL_478,478,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P 10,16,14.74
16,MX_CM_VV_COL_478,478,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 10,16,14.74
17,MX_CM_VV_COL_491,491,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P10,16,14.74
18,MX_CM_VV_COL_491,491,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"martes, 28 de abril de 2026",Unilumin,P10,16,14.74
19,MX_CM_VV_COL_505,505,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P10,12,11.05
20,MX_CM_VV_COL_505,505,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"martes, 28 de abril de 2026",Unilumin,P10,12,11.05
21,MX_CM_VV_COL_509,509,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,16,14.74
